Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Gls/90,Ast/90,xG/90,xAG/90
Rubén García,ESP,Forward (FW),Osasuna,31,36,2413,5,5,2,0,"3,2","3,6","0,19","0,19","0,12","0,13"
Unai García,ESP,Defender (DF),Osasuna,32,3,65,0,0,0,0,0,0,0,0,0,0
Yarek Gasiorowski,ESP,Defender (DF),Valencia,19,15,947,0,0,1,0,"1,1","0,1",0,0,"0,11","0,01"
Gavi,ESP,Midfielder (MF),Barcelona,19,26,1085,1,1,4,0,"0,9","1,6","0,08","0,08","0,07","0,13"
Paulo Gazzaniga,ARG,Goalkeeper (GK),Girona,32,36,3195,0,0,4,0,0,0,0,0,0,0
Bryan Gil,ESP,Forward (FW),Girona,23,25,1721,3,3,4,0,"2,3","2,9","0,16","0,16","0,12","0,15"
Dani Gómez,ESP,Forward (FW),Valencia,26,14,532,2,0,0,0,"2,7",0,"0,34",0,"0,46","0,01"
Moi Gómez,ESP,Midfielder (MF),Osasuna,30,26,796,0,0,1,0,"0,5","0,8",0,0,"0,05","0,08"
Sergi Gómez,ESP,Defender (DF),Espanyol,32,12,664,0,0,1,0,"0,3",0,0,0,"0,04",0
Sergio Gómez,ESP,Midfielder (MF),Real Sociedad,23,37,2738,2,5,4,0,"1,9","8,9","0,07","0,16","0,06","0,29"
Unai Gómez,ESP,Midfielder (MF),Athletic Club,21,32,1284,1,3,1,0,"1,9","0,8","0,07","0,21","0,13","0,06"
Fabio González,ESP,Midfielder (MF),Las Palmas,27,2,53,0,0,0,0,"0,1",0,0,0,"0,12",0
Peter González,DOM,Midfielder (MF),Getafe,22,17,477,0,0,1,0,"1,3","0,1",0,0,"0,24","0,02"
Urko González,ESP,Midfielder (MF),Espanyol,23,17,1374,0,2,2,0,"0,5","0,7",0,"0,13","0,04","0,05"
Urko González,ESP,Midfielder (MF),Real Sociedad,23,1,45,0,0,1,0,0,0,0,0,0,0
Andoni Gorosabel,ESP,Defender (DF),Athletic Club,27,20,1485,0,2,5,0,"0,3","1,8",0,"0,12","0,02","0,11"
José Gragera,ESP,Midfielder (MF),Espanyol,23,10,569,0,0,0,0,0,0,0,0,"0,01",0
Dominik Greif,SVK,Goalkeeper (GK),Mallorca,27,31,2790,0,0,1,0,0,0,0,0,0,0
Antoine Griezmann,FRA,Forward (FW),Atlético Madrid,33,38,2469,8,7,2,0,"7,4","7,1","0,29","0,26","0,27","0,26"
Florian Grillitsch,AUT,Midfielder (MF),Valladolid,28,13,623,0,0,1,0,"0,1","0,7",0,0,"0,01","0,1"
Vicente Guaita,ESP,Goalkeeper (GK),Celta Vigo,37,34,3060,0,0,0,0,0,0,0,0,0,0
Sergi Guardiola,ESP,Forward (FW),Rayo Vallecano,33,16,362,0,0,1,0,"2,4","0,1",0,0,"0,59","0,03"
